Run,Frame,SSIM,PSNR,Pixel Dist,Pixel Dist To Center,Total pixels,FN,FP
3568,7,0.8851,25.04,12.00,29.00,19078.00,233.00,904.00
3568,8,0.9341,26.47,14.00,146.00,18388.00,156.00,372.00
3568,9,0.8484,24.28,22.00,158.00,16897.00,220.00,737.00
3569,0,0.9640,30.92,5.00,180.00,16136.00,17.00,152.00
3569,1,0.9655,31.51,5.00,186.00,16268.00,15.00,165.00
3569,3,0.9684,31.59,6.00,187.00,14425.00,9.00,101.00
3569,4,0.9646,31.37,5.00,186.00,14295.00,7.00,113.00
3569,5,0.9674,31.56,5.00,186.00,14328.00,9.00,112.00
3569,6,0.9689,31.70,6.00,187.00,14412.00,8.00,113.00
3569,7,0.9637,31.19,6.00,186.00,14541.00,11.00,123.00
3569,8,0.9635,31.23,3.00,178.00,15881.00,12.00,92.00
3569,9,0.9690,31.96,5.00,140.00,21154.00,25.00,242.00
3570,0,0.9022,24.96,28.00,16.00,16890.00,64.00,474.00
3570,1,0.8875,24.81,14.00,7.00,28932.00,229.00,448.00
3570,2,0.3979,15.57,71.00,35.00,46120.00,847.00,3293.00
3570,3,0.4147,11.06,169.00,84.00,78558.00,7092.00,27155.00
3570,4,0.5427,11.44,362.00,181.00,118358.00,63140.00,44031.00
3570,5,0.6579,11.97,398.00,199.00,179838.00,132040.00,49383.00
3570,6,0.6940,11.81,413.00,206.00,205829.00,168890.00,38740.00
3571,1,0.6793,20.73,22.00,52.00,20852.00,294.00,658.00
3571,2,0.3655,15.63,70.00,273.00,36882.00,2034.00,2948.00
3572,0,0.5619,19.24,7.00,200.00,13468.00,346.00,663.00
3572,1,0.5668,19.27,7.00,201.00,13430.00,373.00,659.00
3572,2,0.5748,19.45,7.00,200.00,13462.00,352.00,659.00
3572,3,0.5791,19.42,7.00,200.00,13508.00,347.00,665.00
3572,4,0.5762,19.34,7.00,200.00,13471.00,371.00,650.00
3572,5,0.6161,19.98,8.00,202.00,13600.00,305.00,603.00
3572,6,0.6365,19.94,4.00,204.00,13866.00,329.00,535.00
3572,7,0.5878,19.41,4.00,203.00,14183.00,353.00,558.00
3572,8,0.6246,19.59,3.00,197.00,13803.00,347.00,600.00
3572,9,0.6890,20.02,10.00,179.00,15673.00,487.00,914.00
3573,0,0.7736,22.30,17.00,144.00,30045.00,217.00,740.00
3573,2,0.7760,22.38,17.00,143.00,29959.00,209.00,768.00
3573,3,0.7772,22.41,17.00,143.00,29944.00,207.00,761.00
3573,4,0.7779,22.45,17.00,143.00,29938.00,204.00,777.00
3573,5,0.7776,22.39,18.00,143.00,30004.00,219.00,771.00
3573,6,0.7756,22.29,18.00,143.00,30045.00,217.00,764.00
3573,7,0.7700,22.02,17.00,142.00,29484.00,295.00,633.00
3573,8,0.8160,22.82,15.00,144.00,28126.00,212.00,490.00
3573,9,0.8387,23.32,10.00,110.00,27000.00,196.00,393.00
3574,0,0.9360,27.82,13.00,13.00,25613.00,181.00,397.00
3575,0,0.9737,30.64,10.00,72.00,28693.00,22.00,394.00
3575,1,0.9742,30.60,11.00,68.00,28801.00,16.00,440.00
3575,2,0.9741,30.81,11.00,72.00,28794.00,12.00,452.00
3575,3,0.9754,31.18,11.00,73.00,29023.00,5.00,426.00
3575,4,0.9739,30.26,10.00,69.00,30101.00,36.00,353.00
3575,5,0.9750,30.09,8.00,21.00,30735.00,37.00,367.00
3550,0,0.8920,26.41,21.00,14.00,26851.00,124.00,396.00
3551,6,0.9878,34.22,1.00,1.00,24951.00,10.00,235.00
3553,2,0.9527,28.96,8.00,17.00,38957.00,132.00,385.00
3554,8,0.9855,32.82,4.00,48.00,17888.00,12.00,175.00
3556,4,0.9765,34.82,8.00,97.00,18375.00,27.00,213.00
3558,0,0.9386,29.23,13.00,284.00,39047.00,127.00,710.00
3559,6,0.9112,28.42,18.00,68.00,14554.00,75.00,326.00
3561,2,0.7660,21.06,1.00,94.00,28997.00,421.00,907.00
3562,8,0.8855,24.40,20.00,120.00,15724.00,83.00,442.00
3564,4,0.8422,21.54,29.00,22.00,28665.00,1034.00,1055.00
3566,0,0.9617,29.25,6.00,9.00,19279.00,59.00,267.00
3567,6,0.9810,34.95,5.00,123.00,14155.00,26.00,168.00
3569,2,0.9670,31.61,5.00,188.00,15056.00,15.00,100.00
3571,0,0.8750,24.73,19.00,61.00,12850.00,98.00,264.00
3575,7,0.9747,29.66,6.00,49.00,29575.00,39.00,330.00
3575,8,0.9696,28.88,11.00,56.00,29963.00,44.00,369.00
3575,9,0.9292,25.08,9.00,82.00,27707.00,79.00,396.00
3576,0,0.9948,38.40,2.00,142.00,12167.00,7.00,47.00
3576,1,0.9947,38.22,1.00,141.00,12442.00,5.00,53.00
3576,2,0.9950,39.32,2.00,137.00,12693.00,5.00,63.00
3576,3,0.9965,41.37,1.00,87.00,11671.00,5.00,71.00
3576,4,0.9970,42.40,1.00,36.00,13637.00,11.00,41.00
3576,5,0.9956,38.95,0.00,142.00,13662.00,6.00,66.00
3576,6,0.9954,40.30,0.00,297.00,16954.00,8.00,94.00
3577,0,0.9606,28.85,9.00,4.00,15036.00,92.00,190.00
3577,1,0.9409,27.72,11.00,24.00,14434.00,146.00,290.00
3577,3,0.9287,26.62,14.00,24.00,13219.00,104.00,374.00
3577,4,0.9457,28.46,4.00,2.00,15111.00,159.00,211.00
3577,5,0.9418,27.92,9.00,4.00,14519.00,122.00,251.00
3577,6,0.9022,24.87,9.00,6.00,12111.00,138.00,309.00
3577,7,0.9589,30.21,1.00,12.00,14853.00,109.00,200.00
3577,8,0.9697,30.38,4.00,27.00,16088.00,121.00,189.00
3577,9,0.9530,28.01,0.00,19.00,15997.00,212.00,212.00
3578,0,0.9382,28.00,18.00,82.00,26116.00,49.00,437.00
3578,1,0.9423,28.65,18.00,80.00,25690.00,36.00,378.00
3578,2,0.9453,28.89,18.00,77.00,25602.00,36.00,376.00
3578,3,0.9451,28.67,18.00,78.00,25667.00,36.00,362.00
3578,4,0.9407,28.39,19.00,79.00,25739.00,63.00,410.00
3578,5,0.9446,28.68,18.00,78.00,25447.00,43.00,365.00
3578,6,0.9424,28.43,18.00,76.00,25333.00,40.00,393.00
3578,7,0.9458,28.93,18.00,76.00,25328.00,40.00,365.00
3578,9,0.9574,30.36,14.00,94.00,23962.00,33.00,347.00
3579,0,0.9593,29.52,6.00,68.00,15388.00,65.00,216.00
3579,1,0.9669,31.19,7.00,67.00,16145.00,34.00,159.00
3579,2,0.9594,29.81,8.00,69.00,16799.00,54.00,222.00
3579,3,0.9438,29.10,11.00,69.00,16543.00,39.00,252.00
3579,4,0.9259,27.84,13.00,70.00,16016.00,65.00,313.00
3579,5,0.9253,27.29,15.00,71.00,18655.00,113.00,332.00
3579,6,0.9412,28.35,14.00,72.00,22093.00,91.00,413.00
3579,7,0.9525,29.19,17.00,73.00,22652.00,102.00,357.00
3579,8,0.9613,30.15,22.00,83.00,22128.00,68.00,328.00
3579,9,0.9399,27.50,19.00,89.00,21815.00,152.00,374.00
3580,0,0.8087,22.96,3.00,230.00,30838.00,149.00,1075.00
3580,1,0.7985,22.20,4.00,225.00,30842.00,219.00,1057.00
3580,2,0.8452,23.31,4.00,229.00,32572.00,251.00,1282.00
3580,3,0.8407,23.34,4.00,224.00,32537.00,289.00,1319.00
3580,5,0.8378,23.71,9.00,208.00,29951.00,153.00,911.00
3580,6,0.8421,23.81,9.00,214.00,31637.00,177.00,1003.00
3580,7,0.8411,23.81,8.00,232.00,31913.00,171.00,1157.00
3580,8,0.8343,23.98,9.00,232.00,31680.00,136.00,996.00
3580,9,0.8461,23.95,8.00,231.00,31083.00,131.00,1029.00
3581,0,0.9496,28.82,10.00,21.00,15773.00,34.00,282.00
3581,1,0.9536,29.21,10.00,41.00,16246.00,53.00,222.00
3581,2,0.9614,30.09,11.00,32.00,16235.00,30.00,192.00
3581,3,0.9646,30.92,9.00,36.00,16079.00,28.00,181.00
3581,4,0.9649,30.79,7.00,38.00,16191.00,44.00,190.00
3581,5,0.9655,30.92,10.00,35.00,15952.00,44.00,212.00
3581,6,0.9619,30.44,11.00,34.00,16105.00,46.00,191.00
3581,7,0.9641,30.67,7.00,30.00,16140.00,41.00,203.00
3581,8,0.9420,27.87,9.00,29.00,15351.00,30.00,226.00
3581,9,0.9611,30.22,10.00,29.00,15699.00,23.00,189.00
3582,1,0.9463,29.27,11.00,141.00,16136.00,92.00,306.00
3582,2,0.9447,28.98,11.00,142.00,16078.00,76.00,307.00
3582,3,0.9459,29.23,11.00,142.00,16171.00,82.00,317.00
3582,4,0.9473,29.29,10.00,144.00,16065.00,84.00,314.00
3582,5,0.9436,28.41,10.00,148.00,15748.00,89.00,318.00
3582,6,0.9469,28.04,6.00,146.00,15222.00,83.00,221.00
3582,7,0.9532,28.90,5.00,132.00,15512.00,100.00,236.00
3582,8,0.9527,29.07,3.00,113.00,15191.00,93.00,251.00
3582,9,0.9464,28.24,4.00,106.00,15080.00,126.00,222.00
3583,0,0.8732,23.71,16.00,189.00,11641.00,44.00,370.00
3583,1,0.8810,23.66,16.00,189.00,11821.00,49.00,357.00
3583,2,0.8557,22.69,17.00,189.00,12031.00,81.00,348.00
3583,3,0.8666,23.71,16.00,189.00,11034.00,34.00,324.00
3583,4,0.8264,23.10,17.00,188.00,10366.00,29.00,322.00
3583,5,0.6927,19.71,17.00,188.00,10440.00,137.00,450.00
3583,7,0.8341,22.48,16.00,189.00,11400.00,77.00,339.00
3583,8,0.8659,23.65,16.00,187.00,11361.00,39.00,304.00
3583,9,0.8790,23.41,16.00,188.00,12245.00,92.00,361.00
3584,0,0.4477,16.35,22.00,303.00,38697.00,2568.00,3137.00
3584,1,0.4433,16.34,24.00,305.00,38698.00,2621.00,3144.00
3584,2,0.4409,16.26,24.00,305.00,38606.00,2642.00,3122.00
3584,3,0.4429,16.24,24.00,303.00,38535.00,2649.00,3115.00
3584,4,0.4572,16.55,24.00,298.00,37733.00,2361.00,2953.00
3584,5,0.4698,16.60,26.00,286.00,37424.00,2404.00,2892.00
3584,6,0.5406,18.30,16.00,277.00,34257.00,1247.00,2353.00
3584,7,0.5891,18.42,10.00,259.00,28230.00,1005.00,1720.00
3584,8,0.7805,21.58,5.00,228.00,24472.00,319.00,1052.00
3584,9,0.7370,20.11,1.00,206.00,21926.00,546.00,868.00
3585,0,0.8750,26.20,17.00,147.00,22652.00,28.00,556.00
3585,1,0.8755,26.20,16.00,149.00,22975.00,66.00,518.00
3585,3,0.8715,25.81,17.00,132.00,25396.00,119.00,757.00
3585,4,0.8783,25.96,6.00,78.00,26918.00,59.00,551.00
3585,5,0.8683,26.00,12.00,95.00,27712.00,125.00,440.00
3585,6,0.8318,21.70,10.00,114.00,21134.00,128.00,1066.00
3585,7,0.8550,22.60,9.00,124.00,20857.00,189.00,969.00
3585,8,0.8402,22.67,9.00,103.00,21489.00,237.00,917.00
3585,9,0.8729,25.57,34.00,96.00,30229.00,345.00,566.00
3586,0,0.9156,25.97,5.00,46.00,26493.00,150.00,405.00
3586,1,0.9207,25.68,23.00,29.00,19211.00,117.00,370.00
3586,2,0.8516,24.13,40.00,78.00,16638.00,191.00,422.00
3586,3,0.7367,20.41,47.00,94.00,17343.00,352.00,821.00
3586,4,0.7353,20.47,49.00,98.00,17021.00,382.00,683.00
3586,5,0.7733,21.06,50.00,98.00,16458.00,367.00,518.00
3586,6,0.7920,21.19,51.00,99.00,16237.00,457.00,512.00
3586,7,0.7925,20.94,52.00,100.00,16141.00,496.00,543.00
3586,9,0.6492,18.03,57.00,108.00,14569.00,654.00,868.00
3587,0,0.8384,22.10,23.00,85.00,26119.00,435.00,784.00
3587,1,0.8405,22.26,23.00,85.00,26005.00,415.00,814.00
3587,2,0.8368,22.01,23.00,85.00,25991.00,391.00,826.00
3587,3,0.8380,22.06,23.00,85.00,25980.00,393.00,829.00
3587,4,0.8374,22.11,23.00,85.00,25995.00,400.00,810.00
3587,5,0.8386,22.12,23.00,85.00,25974.00,423.00,814.00
3587,6,0.8473,22.40,22.00,85.00,26954.00,449.00,842.00
3587,7,0.8392,22.00,19.00,96.00,28872.00,591.00,1029.00
3587,8,0.7752,20.62,15.00,115.00,27795.00,726.00,1191.00
3587,9,0.7209,18.77,22.00,125.00,26397.00,864.00,1476.00
3588,0,0.9802,32.71,12.00,7.00,15975.00,14.00,210.00
3588,1,0.9872,33.73,6.00,3.00,23271.00,4.00,206.00
3588,2,0.9857,34.63,2.00,16.00,37973.00,15.00,166.00
3588,3,0.9524,30.53,19.00,30.00,56594.00,17.00,767.00
3588,5,0.5428,14.06,77.00,197.00,206616.00,551.00,10262.00
3589,0,0.7692,24.15,17.00,179.00,22734.00,336.00,809.00
3589,1,0.7679,24.19,18.00,183.00,22600.00,319.00,876.00
3589,2,0.7432,22.75,16.00,173.00,21709.00,515.00,663.00
3589,3,0.8454,25.61,14.00,116.00,23305.00,245.00,729.00
3589,4,0.8540,25.12,13.00,134.00,20329.00,309.00,567.00
3589,5,0.8822,26.57,7.00,123.00,17947.00,179.00,348.00
3589,6,0.8970,27.18,8.00,107.00,18343.00,227.00,431.00
3589,7,0.9272,29.33,5.00,93.00,19814.00,171.00,380.00
3589,8,0.9134,28.26,6.00,107.00,21432.00,222.00,413.00
3589,9,0.9061,27.78,6.00,109.00,21028.00,211.00,480.00
3590,0,0.7236,18.94,18.00,307.00,22740.00,372.00,1021.00
3590,1,0.7100,18.77,18.00,306.00,22809.00,414.00,1033.00
3590,2,0.7174,18.92,18.00,305.00,22683.00,425.00,1032.00
3590,4,0.7085,18.69,17.00,302.00,22711.00,458.00,1094.00
3590,5,0.7104,18.62,17.00,301.00,22647.00,465.00,1082.00
3590,6,0.7247,19.02,17.00,300.00,22629.00,450.00,1077.00
3590,7,0.7209,18.89,18.00,300.00,22471.00,369.00,1144.00
3590,8,0.7309,18.96,18.00,300.00,21999.00,196.00,1267.00
3590,9,0.7245,18.68,18.00,300.00,21518.00,195.00,1338.00
3591,0,0.9432,26.76,25.00,26.00,10544.00,42.00,289.00
3591,1,0.9601,27.59,23.00,42.00,11699.00,37.00,289.00
3591,2,0.9603,27.93,14.00,45.00,12281.00,37.00,337.00
3591,3,0.9609,28.03,15.00,22.00,12408.00,30.00,348.00
3591,4,0.9226,23.27,21.00,10.00,11870.00,43.00,304.00
3591,5,0.8630,21.16,8.00,9.00,10119.00,44.00,543.00
3591,6,0.9528,25.50,13.00,14.00,12545.00,74.00,156.00
3591,7,0.9740,29.01,12.00,15.00,14290.00,55.00,180.00
3591,8,0.9843,30.92,14.00,48.00,14684.00,34.00,178.00
3592,0,0.9182,26.38,1.00,22.00,34586.00,362.00,496.00
3592,1,0.9031,26.09,5.00,34.00,33773.00,386.00,404.00
3592,2,0.9087,26.09,3.00,44.00,33418.00,340.00,428.00
3592,3,0.9250,27.64,11.00,30.00,33187.00,285.00,337.00
3592,4,0.9219,27.21,10.00,32.00,32465.00,296.00,412.00
3592,5,0.9267,26.66,14.00,51.00,32011.00,310.00,533.00
3592,6,0.9194,26.44,0.00,42.00,31368.00,227.00,304.00
3592,7,0.9388,29.15,4.00,23.00,30705.00,150.00,298.00
3592,8,0.9316,27.54,15.00,12.00,31785.00,214.00,380.00
3592,9,0.9349,28.09,1.00,4.00,31590.00,189.00,357.00
3593,0,0.9402,29.30,11.00,68.00,9451.00,11.00,153.00
3593,1,0.9265,28.18,8.00,66.00,9532.00,8.00,179.00
3593,2,0.9519,28.59,8.00,73.00,9314.00,9.00,228.00
3593,3,0.9717,31.04,7.00,86.00,9466.00,14.00,190.00
3593,4,0.9781,30.94,11.00,88.00,12779.00,24.00,191.00
3593,6,0.9852,34.12,12.00,32.00,14560.00,8.00,169.00
3593,7,0.9760,32.73,8.00,19.00,12426.00,19.00,193.00
3593,8,0.9611,29.15,13.00,35.00,9732.00,18.00,126.00
3593,9,0.9809,32.75,9.00,54.00,13757.00,19.00,144.00
3594,0,0.9215,29.04,30.00,15.00,23125.00,99.00,427.00
3594,1,0.9112,28.52,28.00,14.00,22634.00,98.00,397.00
3594,2,0.9192,29.04,20.00,10.00,22264.00,72.00,424.00
3594,3,0.9437,30.01,16.00,16.00,24437.00,87.00,428.00
3594,4,0.9492,30.17,22.00,38.00,28226.00,181.00,306.00
3594,5,0.9178,27.71,4.00,91.00,29611.00,375.00,424.00
3594,6,0.8580,25.29,9.00,114.00,29705.00,425.00,680.00
3594,7,0.7296,22.43,10.00,124.00,32864.00,749.00,1220.00
3594,8,0.5480,19.91,28.00,143.00,35564.00,1044.00,1517.00
3594,9,0.5363,19.69,45.00,167.00,40746.00,927.00,1740.00
3595,0,0.9879,36.04,6.00,97.00,39039.00,45.00,233.00
3595,2,0.9879,35.84,4.00,99.00,38965.00,48.00,252.00
3595,3,0.9878,35.79,4.00,101.00,38950.00,48.00,261.00
3595,4,0.9879,35.79,5.00,105.00,38985.00,50.00,239.00
3595,5,0.9865,36.02,7.00,100.00,35680.00,40.00,185.00
3595,6,0.9866,36.16,7.00,100.00,35204.00,29.00,173.00
3595,7,0.9872,36.43,6.00,97.00,34780.00,34.00,175.00
3595,8,0.9876,36.72,2.00,92.00,31152.00,42.00,164.00
3595,9,0.9865,36.32,3.00,89.00,30454.00,27.00,162.00
3596,0,0.5594,15.83,8.00,204.00,22272.00,1288.00,2006.00
3596,1,0.5676,16.29,5.00,187.00,24285.00,1066.00,1583.00
3596,2,0.7208,19.92,17.00,111.00,24755.00,721.00,941.00
3596,3,0.8788,24.40,5.00,3.00,25239.00,354.00,545.00
3596,4,0.8087,21.78,1.00,94.00,25024.00,547.00,743.00
3596,5,0.7371,20.40,9.00,151.00,26457.00,922.00,1271.00
3596,6,0.6285,18.19,26.00,179.00,25700.00,1215.00,1541.00
3596,8,0.5403,14.75,53.00,330.00,24029.00,1714.00,1713.00
3596,9,0.6064,16.30,46.00,386.00,16516.00,1940.00,142.00
3597,0,0.8588,23.60,3.00,153.00,13781.00,130.00,570.00
3597,1,0.8550,23.61,3.00,153.00,13800.00,130.00,519.00
3597,2,0.8689,24.27,3.00,149.00,14030.00,103.00,531.00
3597,3,0.8954,25.50,4.00,148.00,14360.00,83.00,489.00
3597,4,0.9008,25.52,4.00,147.00,14318.00,79.00,460.00
3597,5,0.8871,24.93,3.00,149.00,14350.00,86.00,523.00
3597,6,0.8931,25.47,4.00,149.00,14852.00,80.00,519.00
3597,7,0.9067,25.76,4.00,143.00,15230.00,100.00,497.00
3597,8,0.9111,26.06,5.00,140.00,15395.00,71.00,546.00
3597,9,0.8944,25.61,4.00,143.00,15649.00,72.00,589.00
3598,0,0.9920,38.52,0.00,159.00,20416.00,24.00,89.00
3598,1,0.9918,38.16,0.00,159.00,20339.00,15.00,73.00
3598,2,0.9919,38.52,1.00,158.00,20330.00,17.00,73.00
3598,3,0.9932,39.27,1.00,153.00,20197.00,20.00,80.00
3598,5,0.9937,38.84,0.00,97.00,19187.00,10.00,93.00
3598,6,0.9950,39.79,1.00,69.00,19635.00,18.00,74.00
3598,7,0.9956,40.04,1.00,36.00,20244.00,5.00,89.00
3598,8,0.9959,40.63,0.00,8.00,19642.00,10.00,98.00
3598,9,0.9960,40.94,0.00,18.00,19571.00,8.00,80.00
3599,0,0.9856,32.78,3.00,205.00,25800.00,25.00,253.00
3599,1,0.9868,33.16,3.00,181.00,25421.00,7.00,177.00
3599,2,0.9911,36.62,1.00,84.00,23095.00,3.00,106.00
3599,3,0.9909,36.18,0.00,10.00,25815.00,7.00,126.00
3599,4,0.9925,37.31,1.00,75.00,22277.00,3.00,125.00
3599,5,0.9902,36.33,2.00,180.00,26514.00,9.00,153.00
3599,6,0.9849,33.02,2.00,246.00,26915.00,25.00,216.00
3599,7,0.9797,31.19,2.00,341.00,26667.00,43.00,242.00
3599,8,0.9370,25.34,3.00,394.00,9937.00,138.00,177.00
3600,0,0.9714,33.20,15.00,83.00,61223.00,50.00,647.00
3575,6,0.9795,30.76,9.00,23.00,31010.00,39.00,338.00
3577,2,0.9252,26.60,10.00,19.00,14141.00,165.00,327.00
3578,8,0.9324,27.68,14.00,89.00,26111.00,59.00,459.00
3580,4,0.8376,23.75,4.00,206.00,31681.00,150.00,922.00
3582,0,0.9489,29.45,11.00,140.00,16223.00,72.00,318.00
3583,6,0.8588,23.27,16.00,189.00,11367.00,64.00,299.00
3585,2,0.8817,26.04,17.00,147.00,25119.00,69.00,525.00
3586,8,0.7495,19.99,53.00,101.00,15629.00,460.00,693.00
3588,4,0.7191,21.78,55.00,93.00,88469.00,365.00,2188.00
3590,3,0.7120,18.77,18.00,303.00,22653.00,372.00,1099.00
3591,9,0.9581,26.74,0.00,67.00,13858.00,106.00,177.00
3593,5,0.9827,32.25,13.00,69.00,14492.00,35.00,198.00
3595,1,0.9882,36.00,3.00,99.00,39000.00,40.00,249.00
3596,7,0.5849,16.73,42.00,276.00,21054.00,1364.00,1807.00
3524,3,0.9665,33.73,15.00,9.00,36442.00,43.00,493.00
3548,4,0.9509,29.75,4.00,9.00,28524.00,101.00,220.00
3573,1,0.7730,22.33,17.00,143.00,29987.00,214.00,752.00
3598,4,0.9932,38.59,0.00,126.00,19692.00,8.00,96.00
3600,2,0.9710,33.10,15.00,83.00,61207.00,50.00,592.00
3600,3,0.9718,33.14,15.00,83.00,61067.00,65.00,590.00
3600,4,0.9701,32.72,15.00,82.00,61245.00,66.00,595.00
3600,5,0.9717,32.72,16.00,79.00,59315.00,27.00,638.00
3600,6,0.9712,33.59,20.00,87.00,52665.00,25.00,557.00
3600,7,0.8901,22.88,17.00,78.00,45069.00,29.00,736.00
3600,8,0.9317,26.21,13.00,39.00,48767.00,72.00,927.00
3600,9,0.8794,23.02,21.00,10.00,51107.00,78.00,873.00
3601,0,0.9806,32.52,3.00,27.00,15025.00,26.00,206.00
3601,1,0.9809,32.73,4.00,28.00,15063.00,26.00,216.00
3601,2,0.9806,32.64,3.00,27.00,15042.00,32.00,212.00
3601,3,0.9805,32.57,4.00,28.00,15042.00,31.00,213.00
3601,4,0.9803,32.66,4.00,28.00,15072.00,30.00,214.00
3601,5,0.9797,32.72,3.00,28.00,15093.00,27.00,221.00
3601,6,0.9795,32.80,4.00,29.00,15242.00,32.00,171.00
3601,8,0.9789,32.42,5.00,27.00,15127.00,28.00,208.00
3601,9,0.9792,32.50,3.00,26.00,14909.00,26.00,193.00
3602,0,0.6691,21.51,34.00,267.00,44106.00,542.00,1815.00
3602,1,0.6596,20.95,34.00,265.00,44256.00,636.00,1825.00
3602,2,0.6623,20.83,36.00,267.00,43974.00,648.00,1910.00
3602,3,0.6804,21.44,36.00,271.00,43446.00,533.00,1711.00
3602,4,0.6676,21.19,35.00,274.00,43202.00,561.00,1643.00
3602,5,0.6545,20.42,28.00,280.00,42841.00,691.00,1623.00
3602,6,0.6869,21.79,23.00,284.00,41748.00,398.00,1576.00
3602,7,0.7048,22.00,19.00,259.00,40855.00,376.00,1388.00
3602,8,0.7177,22.59,13.00,224.00,37560.00,270.00,1408.00
3602,9,0.7557,22.94,8.00,197.00,34880.00,379.00,1134.00
3603,0,0.9794,34.08,3.00,118.00,24689.00,24.00,193.00
